Account number,Organization,scope1_emissions
427,Air Canada,12205420
429,Air France - KLM,27665812
660,American Airlines Group Inc,41892600
550,ANA Holdings Inc.,11177181
50174,Avianca Group,4780676.02
1932,BMW AG,625072
2667,Canadian Natural Resources Limited,21502804
2926,Cathay Pacific Airways Limited,17996912
3751,ConocoPhillips,19333787
3889,"Cosmo Energy Holdings Co., Ltd.",6236800
4408,Delta Air Lines,35782446.15
4657,Deutsche Lufthansa AG,30584190
4678,Devon Energy Corporation,5368904
5021,DTE Energy Company,31857000
5581,Enbridge Inc.,10211858
29901,"ENEOS Holdings, Inc.",29620000
5634,Eni SpA,42515724
5767,"EOG Resources, Inc.",4584406.39
23132,Equinor,15391778
6332,Finnair,2903408
6595,Ford Motor Company,1391127
7164,General Motors Company,1848804
8362,"Hino Motors, Ltd.",149000
8566,"Honda Motor Co., Ltd.",1350000
8708,Hyundai Motor Co,805105
9134,Inpex Corporation,584309
36707,"International Consolidated Airlines Group, S.A.",28764427
9559,Isuzu Motors Limited,132181
9703,Japan Airlines Corporation,9071163
9759,Jetblue Airways Corporation,7809488
10076,Kia Motors Corp,388749
11267,Mahindra & Mahindra,41777
11520,Mazda Motor Corporation,135880
12263,Mitsubishi Motors Corporation,120063
13363,"Nissan Motor Co., Ltd.",912476
13649,Occidental Petroleum Corporation,11300000
13870,OMV AG,11148973
14169,PACCAR Inc,109976
49618,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,2112366.22
14654,Petróleo Brasileiro SA - Petrobras,66613634
11043,PJSC LUKOIL,31140000
15297,PTT,30163397
15634,Renault Group,674960
15669,Repsol,22952792
16012,Royal Dutch Shell,73000000
17420,Southwest Airlines Co.,20148910
6855,SUBARU CORPORATION,351327.71
17929,Suncor Energy Inc.,18509320
18285,Tata Motors,97163
19304,TC Energy,12500000
19257,TotalEnergies,36200000
19290,Toyota Motor Corporation,2604655
19569,United Airlines Holdings,32429263
20309,Volkswagen AG,4297748